file_name,country_code,outcome
africa_angola_building_32732.dl.zip,AGO,completed
africa_angola_building_32733.dl.zip,AGO,completed
africa_angola_building_32734.dl.zip,AGO,completed
africa_angola_building_32735.dl.zip,AGO,completed
africa_burundi_building_32735.dl.zip,BDI,completed
africa_burundi_building_32736.dl.zip,BDI,completed
africa_benin_building_32631.dl.zip,BEN,completed
africa_burkina_faso_building_32630.dl.zip,BFA,completed
africa_burkina_faso_building_32631.dl.zip,BFA,completed
africa_botswana_building_32734.dl.zip,BWA,completed
africa_botswana_building_32735.dl.zip,BWA,completed
africa_car_building_32633.dl.zip,CAF,completed
africa_car_building_32634.dl.zip,CAF,completed
africa_car_building_32635.dl.zip,CAF,completed
africa_cote_divoire_building_32629.dl.zip,CIV,completed
africa_cote_divoire_building_32630.dl.zip,CIV,completed
africa_cameroon_building_32632.dl.zip,CMR,completed
africa_cameroon_building_32633.dl.zip,CMR,completed
africa_dem_rep_congo_p1_building_32733.dl.zip,COD,completed
africa_dem_rep_congo_p1_building_32734.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32633.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32634.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32635.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32636.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32733.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32734.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32735.dl.zip,COD,completed
africa_dem_rep_congo_p2_building_32736.dl.zip,COD,completed
africa_congo_building_32633.dl.zip,COG,completed
africa_congo_building_32634.dl.zip,COG,completed
africa_congo_building_32732.dl.zip,COG,completed
africa_congo_building_32733.dl.zip,COG,completed
africa_comoros_building_32738.dl.zip,COM,completed
africa_caboverde_building_32626.dl.zip,CPV,completed
africa_caboverde_building_32627.dl.zip,CPV,completed
africa_djibouti_building_32637.dl.zip,DJI,completed
africa_djibouti_building_32638.dl.zip,DJI,completed
africa_eritrea_building_32637.dl.zip,ERI,completed
africa_eritrea_building_32638.dl.zip,ERI,completed
africa_western_sahara_building_32628_v2.dl.zip,ESH,completed
africa_western_sahara_building_32629_v2.dl.zip,ESH,completed
africa_ethiopia_building_1_32637.dl.zip,ETH,completed
africa_ethiopia_building_21_32637.dl.zip,ETH,completed
africa_ethiopia_building_22_32637.dl.zip,ETH,completed
africa_ethiopia_building_32636.dl.zip,ETH,completed
africa_ethiopia_building_32638.dl.zip,ETH,completed
africa_ethiopia_building_3_32637.dl.zip,ETH,completed
africa_gabon_building_32632.dl.zip,GAB,completed
africa_gabon_building_32633.dl.zip,GAB,completed
africa_gabon_building_32732.dl.zip,GAB,completed
africa_gabon_building_32733.dl.zip,GAB,completed
africa_ghana_building_32630.dl.zip,GHA,completed
africa_ghana_building_32631.dl.zip,GHA,completed
africa_guinea_building_32628.dl.zip,GIN,completed
africa_guinea_building_32629.dl.zip,GIN,completed
africa_gambia_building_32628.dl.zip,GMB,completed
africa_guineabissau_building_32628.dl.zip,GNB,completed
africa_equatorial_guinea_building_32632.dl.zip,GNQ,completed
africa_equatorial_guinea_building_32731.dl.zip,GNQ,completed
africa_kenya_building_32636.dl.zip,KEN,completed
africa_kenya_building_32637.dl.zip,KEN,completed
africa_kenya_building_32736.dl.zip,KEN,completed
africa_kenya_building_32737.dl.zip,KEN,completed
africa_liberia_building_32629.dl.zip,LBR,completed
africa_lesotho_building_32735.dl.zip,LSO,completed
africa_madagascar_building_32738.dl.zip,MDG,completed
africa_madagascar_building_32739.dl.zip,MDG,completed
africa_mali_building_32628.dl.zip,MLI,completed
africa_mali_building_32629.dl.zip,MLI,completed
africa_mali_building_32630.dl.zip,MLI,completed
africa_mali_building_32631.dl.zip,MLI,completed
africa_mozambique_building_32736.dl.zip,MOZ,completed
africa_mozambique_building_32737.dl.zip,MOZ,completed
africa_mauritania_building_32628.dl.zip,MRT,completed
africa_mauritania_building_32629_v2.dl.zip,MRT,completed
africa_mauritania_building_32630_v2.dl.zip,MRT,completed
africa_mauritius_building_32740.dl.zip,MUS,completed
africa_mauritius_building_32741.dl.zip,MUS,completed
africa_malawi_building_32736.dl.zip,MWI,completed
africa_namibia_building_32732.dl.zip,NAM,completed
africa_namibia_building_32733.dl.zip,NAM,completed
africa_namibia_building_32734.dl.zip,NAM,completed
africa_namibia_building_32735.dl.zip,NAM,completed
africa_niger_building_32631.dl.zip,NER,invalid
africa_niger_building_32632.dl.zip,NER,invalid
africa_niger_building_32633.dl.zip,NER,completed
africa_nigeria_p1_building_32631.dl.zip,NGA,completed
africa_nigeria_p1_building_32632.dl.zip,NGA,completed
africa_nigeria_p2_building_32631.dl.zip,NGA,completed
africa_nigeria_p2_building_32632_1.dl.zip,NGA,completed
africa_nigeria_p2_building_32632_2.dl.zip,NGA,completed
africa_nigeria_p2_building_32632_3.dl.zip,NGA,completed
africa_sudan_building_32636.dl.zip,SDN,completed
africa_tanzania_building_32736.dl.zip,TZA,completed
africa_uganda_building_32636_v2.dl.zip,UGA,completed
africa_south_africa_building_32735_1.dl.zip,ZAF,completed
africa_south_africa_building_32736.dl.zip,ZAF,completed
africa_nigeria_p2_building_32633.dl.zip,NGA,completed
africa_reunion_building_32740.dl.zip,NGA,completed
africa_rwanda_building_32735.dl.zip,RWA,completed
africa_rwanda_building_32736.dl.zip,RWA,completed
africa_sudan_building_32634.dl.zip,SDN,completed
africa_sudan_building_32635.dl.zip,SDN,completed
africa_sudan_building_32637.dl.zip,SDN,completed
africa_senegal_building_32628.dl.zip,SEN,completed
africa_senegal_building_32629.dl.zip,SEN,completed
africa_sierra_leone_building_32628.dl.zip,SLE,completed
africa_sierra_leone_building_32629.dl.zip,SLE,completed
africa_somalia_building_32637.dl.zip,SOM,completed
africa_somalia_building_32638_v2.dl.zip,SOM,completed
africa_somalia_building_32639.dl.zip,SOM,completed
africa_somalia_building_32737.dl.zip,SOM,completed
africa_somalia_building_32738.dl.zip,SOM,completed
africa_south_sudan_building_32635.dl.zip,SSD,completed
africa_south_sudan_building_32636.dl.zip,SSD,completed
africa_saotomeandprincipe_building_32632.dl.zip,STP,completed
africa_saotomeandprincipe_building_32732.dl.zip,STP,completed
africa_swaziland_building_32736.dl.zip,SWZ,completed
africa_seychelles_building_32738.dl.zip,SYC,completed
africa_seychelles_building_32739.dl.zip,SYC,completed
africa_seychelles_building_32740.dl.zip,SYC,completed
africa_chad_building_32633.dl.zip,TCD,completed
africa_chad_building_32634.dl.zip,TCD,completed
africa_togo_building_32630.dl.zip,TGO,completed
africa_togo_building_32631.dl.zip,TGO,invalid
africa_tanzania_building_32735.dl.zip,TZA,completed
africa_tanzania_building_32737.dl.zip,TZA,completed
africa_uganda_building_32635_v2.dl.zip,UGA,completed
africa_uganda_building_32735_v2.dl.zip,UGA,completed
africa_uganda_building_32736_v2.dl.zip,UGA,completed
africa_south_africa_building_32733.dl.zip,ZAF,completed
africa_south_africa_building_32734.dl.zip,ZAF,completed
africa_south_africa_building_32735_2.dl.zip,ZAF,completed
africa_zambia_building_32734.dl.zip,ZMB,completed
africa_zambia_building_32735.dl.zip,ZMB,completed
africa_zambia_building_32736.dl.zip,ZMB,completed
africa_zimbabwe_building_32735_v2.dl.zip,ZWE,completed
africa_zimbabwe_building_32736.dl.zip,ZWE,completed
africa_niger_building_32631.dl.zip,NER,completed
africa_niger_building_32632.dl.zip,NER,completed
africa_togo_building_32631.dl.zip,TGO,invalid
africa_togo_building_32631.dl.zip,TGO,completed
